Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
471,10,1.1561403,51,0.025445293,0.358835582,0.151202749
472,6,0.8870222,29,0.015267176,0.241470082,0.075601375
473,6,0.84912294,16,0.015267176,0.224941779,0.030927835
474,6,0.84912294,14,0.015267176,0.224941779,0.024054983
475,6,0.84912294,14,0.015267176,0.224941779,0.024054983
476,6,0.84912294,14,0.015267176,0.224941779,0.024054983
477,6,0.84912294,14,0.015267176,0.224941779,0.024054983
478,6,0.84912294,14,0.015267176,0.224941779,0.024054983
479,6,0.84912294,14,0.015267176,0.224941779,0.024054983
480,6,0.84912294,15,0.015267176,0.224941779,0.027491409
481,6,0.8619656,20,0.015267176,0.23054261,0.04467354
482,8,1,28,0.020356234,0.290741,0.072164948
483,14,1.3006579,46,0.03562341,0.42186137,0.134020619
484,200,2.3619857,162,0.508905852,0.884718634,0.532646048
485,137,2.2341423,135,0.348600509,0.828964656,0.439862543
486,24,1.6857162,100,0.061068702,0.589789724,0.319587629
487,12,1.3088794,87,0.030534351,0.42544686,0.274914089
488,30,1.8571436,154,0.076335878,0.664551186,0.505154639
489,137,2.3843048,198,0.348600509,0.89445225,0.656357388
490,55,2.1758037,175,0.139949109,0.803522521,0.577319588
491,132,2.4041641,174,0.335877863,0.903113119,0.573883162
492,68,2.0589156,152,0.17302799,0.752546276,0.498281787
493,16,1.4516129,101,0.040712468,0.487694582,0.323024055
494,8,1.0207884,41,0.020356234,0.299807061,0.116838488
495,6,0.8619656,23,0.015267176,0.23054261,0.054982818
496,6,0.8870222,34,0.015267176,0.241470082,0.092783505
497,10,1.2409762,82,0.025445293,0.395833494,0.257731959
498,32,1.8993479,155,0.081424936,0.682956966,0.508591065
499,54,2.0987535,187,0.13740458,0.769920043,0.618556701
500,44,2.0045905,185,0.111959288,0.728854475,0.611683849
501,83,2.1737089,165,0.211195929,0.802608955,0.542955326
502,34,1.9373348,131,0.086513995,0.699523491,0.426116838
503,12,1.3455029,83,0.030534351,0.44141879,0.261168385
504,12,1.2241485,63,0.030534351,0.38849474,0.192439863
505,20,1.4516129,103,0.050890585,0.487694582,0.329896907
506,40,1.9787503,144,0.10178117,0.717585267,0.470790378
507,138,2.4821429,167,0.351145038,0.937120571,0.549828179
508,16,1.4791844,106,0.040712468,0.49971883,0.340206186
509,110,2.1376264,158,0.279898219,0.786872962,0.518900344
510,24,1.6211112,129,0.061068702,0.561614741,0.419243986
511,13,1.4516129,93,0.03307888,0.487694582,0.295532646
512,40,1.7426945,105,0.10178117,0.614638616,0.336769759
513,8,1.1460608,61,0.020356234,0.354439796,0.18556701
514,6,0.8619656,24,0.015267176,0.23054261,0.058419244
515,8,1.1460608,64,0.020356234,0.354439796,0.195876289
516,42,1.7700537,129,0.106870229,0.626570278,0.419243986
517,21,1.6992515,144,0.053435115,0.595692624,0.470790378
518,129,2.2168565,164,0.328244275,0.82142612,0.5395189
519,18,1.5346701,107,0.045801527,0.523916782,0.343642612
520,16,1.4380959,102,0.040712468,0.481799663,0.326460481
521,12,1.2123377,56,0.030534351,0.383343914,0.16838488
522,12,1.3272201,73,0.030534351,0.433445451,0.226804124
523,12,1.2241485,59,0.030534351,0.38849474,0.178694158
524,20,1.4255327,87,0.050890585,0.476320707,0.274914089
525,36,1.8912494,145,0.091603053,0.679425117,0.474226804
526,56,2.136039,207,0.142493639,0.786180678,0.687285223
527,10,1.2621337,69,0.025445293,0.405060523,0.213058419
528,8,1.0207884,39,0.020356234,0.299807061,0.109965636
529,12,1.2063863,42,0.030534351,0.38074844,0.120274914
530,37,1.8993479,139,0.094147583,0.682956966,0.453608247
531,26,1.7777745,126,0.066157761,0.629937408,0.408934708
532,10,1.2409762,66,0.025445293,0.395833494,0.202749141
533,12,1.2123377,55,0.030534351,0.383343914,0.164948454
534,17,1.5967636,137,0.043256997,0.550996472,0.446735395
535,45,1.9040805,142,0.114503817,0.685020908,0.463917526
536,12,1.2222222,23,0.030534351,0.387654658,0.054982818
537,8,0.98558021,21,0.020356234,0.284452364,0.048109966
538,6,0.8619656,19,0.015267176,0.23054261,0.041237113
539,6,0.84912294,15,0.015267176,0.224941779,0.027491409
540,6,0.84912294,14,0.015267176,0.224941779,0.024054983
541,6,0.84912294,15,0.015267176,0.224941779,0.027491409
542,6,0.8619656,26,0.015267176,0.23054261,0.065292096
543,8,1.1460608,57,0.020356234,0.354439796,0.171821306
544,26,1.7700537,122,0.066157761,0.626570278,0.395189003
545,393,2.5822911,209,1,0.980796353,0.694158076
546,26,1.7777745,125,0.066157761,0.629937408,0.405498282
547,8,1.1460608,58,0.020356234,0.354439796,0.175257732
548,6,0.8619656,26,0.015267176,0.23054261,0.065292096
549,6,0.84912294,15,0.015267176,0.224941779,0.027491409
550,6,0.84912294,14,0.015267176,0.224941779,0.024054983
551,6,0.84912294,14,0.015267176,0.224941779,0.024054983
552,34,1.8912494,160,0.086513995,0.679425117,0.525773196
553,49,2.1398234,194,0.124681934,0.787831099,0.642611684
554,61,2.1060605,241,0.155216285,0.77310671,0.804123711
555,82,2.1774147,249,0.208651399,0.804225097,0.83161512
556,39,1.9487677,174,0.099236641,0.70450951,0.573883162
557,38,1.8993479,172,0.096692112,0.682956966,0.567010309
558,61,2.063493,158,0.155216285,0.754542533,0.518900344
559,32,1.8362781,126,0.081424936,0.655451501,0.408934708
560,16,1.4135897,78,0.040712468,0.471112227,0.243986254
561,8,1.0207884,38,0.020356234,0.299807061,0.10652921
562,6,0.8619656,21,0.015267176,0.23054261,0.048109966
563,6,0.84912294,15,0.015267176,0.224941779,0.027491409
564,6,0.84912294,14,0.015267176,0.224941779,0.024054983
565,6,0.84912294,14,0.015267176,0.224941779,0.024054983
566,6,0.84912294,14,0.015267176,0.224941779,0.024054983
567,6,0.84912294,14,0.015267176,0.224941779,0.024054983
568,6,0.84912294,14,0.015267176,0.224941779,0.024054983
569,6,0.84912294,15,0.015267176,0.224941779,0.027491409
570,6,0.8619656,19,0.015267176,0.23054261,0.041237113
571,8,0.98558021,21,0.020356234,0.284452364,0.048109966
572,12,1.2222222,23,0.030534351,0.387654658,0.054982818
573,34,1.5364467,65,0.086513995,0.524691578,0.199312715
574,10,1.1191936,34,0.025445293,0.342722701,0.092783505
575,6,0.91666669,30,0.015267176,0.254398385,0.079037801
576,0,0.84912294,18,0,0.224941779,0.037800687
577,9,1.2241485,56,0.022900763,0.38849474,0.16838488
578,13,1.4864661,55,0.03307888,0.502894463,0.164948454
579,63,2.0876319,130,0.160305344,0.765069785,0.422680412
580,8,1.4516129,99,0.020356234,0.487694582,0.316151203
581,11,1.5154221,53,0.027989822,0.515522508,0.158075601
582,0,1.390353,97,0,0.460978435,0.309278351
583,76,2.1456218,126,0.193384224,0.790359848,0.408934708
584,12,1.3992285,117,0.030534351,0.464849142,0.378006873
585,10,1.3624066,115,0.025445293,0.448790688,0.371134021
586,70,2.0186343,140,0.178117048,0.734979138,0.457044674
587,20,1.5346701,99,0.050890585,0.523916782,0.316151203
588,14,1.3076391,51,0.03562341,0.424905951,0.151202749
589,8,1,27,0.020356234,0.290741,0.068728522
590,6,0.8619656,20,0.015267176,0.23054261,0.04467354
591,6,0.84912294,17,0.015267176,0.224941779,0.034364261
592,6,0.8870222,33,0.015267176,0.241470082,0.089347079
593,10,1.3034559,90,0.025445293,0.42308161,0.285223368
594,72,2.0229185,122,0.183206107,0.736847527,0.395189003
595,10,1.3431821,108,0.025445293,0.440406662,0.347079038
596,10,1.3235294,111,0.025445293,0.431835894,0.357388316
597,18,1.5,97,0.045801527,0.508796753,0.309278351
598,8,1.1460608,78,0.020356234,0.354439796,0.243986254
599,14,1.4221928,104,0.03562341,0.474864138,0.333333333
600,51,2.1525943,144,0.129770992,0.793400635,0.470790378
601,14,1.3304729,80,0.03562341,0.434864034,0.250859107
602,8,1.0697098,51,0.020356234,0.321142246,0.151202749
603,12,1.2906152,78,0.030534351,0.417481633,0.243986254
604,10,1.3431821,117,0.025445293,0.440406662,0.378006873
605,10,1.3431821,109,0.025445293,0.440406662,0.350515464
606,70,2.0229185,122,0.178117048,0.736847527,0.395189003
607,10,1.3034559,90,0.025445293,0.42308161,0.285223368
608,6,0.8870222,33,0.015267176,0.241470082,0.089347079
609,6,0.84912294,18,0.015267176,0.224941779,0.037800687
610,6,0.8870222,32,0.015267176,0.241470082,0.085910653
611,10,1.2829794,84,0.025445293,0.414151572,0.264604811
612,66,1.9758738,130,0.167938931,0.716330792,0.422680412
613,10,1.2829794,84,0.025445293,0.414151572,0.264604811
614,6,0.8870222,32,0.015267176,0.241470082,0.085910653
615,6,0.84912294,17,0.015267176,0.224941779,0.034364261
616,6,0.8619656,30,0.015267176,0.23054261,0.079037801
617,8,1.2186118,89,0.020356234,0.386080121,0.281786942
618,32,1.8833622,122,0.081424936,0.675985419,0.395189003
619,7,1.8369439,112,0.017811705,0.655741864,0.360824742
620,41,2.1240644,134,0.1043257,0.780958417,0.436426117
621,35,2.0270002,132,0.089058524,0.738627603,0.429553265
622,19,1.6071428,101,0.048346056,0.555522961,0.323024055
623,18,1.4644111,73,0.045801527,0.493276024,0.226804124
624,14,1.4221928,106,0.03562341,0.474864138,0.340206186
625,34,1.9373348,153,0.086513995,0.699523491,0.501718213
626,44,2.1429529,154,0.111959288,0.78919591,0.505154639
627,36,1.9309677,132,0.091603053,0.696746725,0.429553265
628,32,1.5785179,104,0.081424936,0.543039312,0.333333333
629,10,1.2196002,71,0.025445293,0.386511174,0.219931271
630,16,1.4382962,88,0.040712468,0.481887016,0.278350515
631,60,1.9805739,116,0.152671756,0.71838056,0.374570447
632,53,2.1525943,139,0.134860051,0.793400635,0.453608247
633,69,2.2015169,143,0.175572519,0.814736344,0.467353952
634,32,1.8833622,115,0.081424936,0.675985419,0.371134021
635,10,1.2829794,98,0.025445293,0.414151572,0.312714777
636,10,1.2621337,92,0.025445293,0.405060523,0.29209622
637,30,1.8362781,123,0.076335878,0.655451501,0.39862543
638,52,2.1024222,149,0.132315522,0.771520005,0.487972509
639,66,2.0180571,146,0.167938931,0.734727414,0.47766323
640,32,1.632839,121,0.081424936,0.566729369,0.391752577
641,26,1.5992693,125,0.066157761,0.552089237,0.405498282
642,46,2.0595157,149,0.117048346,0.752807987,0.487972509
643,58,2.2648094,141,0.147582697,0.842338931,0.4604811
644,16,1.8900454,113,0.040712468,0.678900039,0.364261168
645,38,1.8750838,187,0.096692112,0.672375113,0.618556701
646,53,1.9309677,152,0.134860051,0.696746725,0.498281787
647,8,1.0207884,41,0.020356234,0.299807061,0.116838488
648,16,1.4255327,82,0.040712468,0.476320707,0.257731959
649,10,1.3235294,111,0.025445293,0.431835894,0.357388316
650,12,1.3455029,100,0.030534351,0.44141879,0.319587629
651,36,1.9775612,134,0.091603053,0.717066686,0.436426117
652,25,1.7426945,142,0.063613232,0.614638616,0.463917526
653,34,1.8839605,145,0.086513995,0.676246344,0.474226804
654,218,2.56304,277,0.554707379,0.972400727,0.927835052
655,121,2.3032792,240,0.307888041,0.859116054,0.800687285
656,26,1.7372102,134,0.066157761,0.61224685,0.436426117
657,10,1.2196002,80,0.025445293,0.386511174,0.250859107
658,10,1.2196002,76,0.025445293,0.386511174,0.237113402
659,10,1.2409762,85,0.025445293,0.395833494,0.268041237
660,8,1.1460608,77,0.020356234,0.354439796,0.240549828
661,22,1.6249448,111,0.055979644,0.563286618,0.357388316
662,75,2.1758037,187,0.190839695,0.803522521,0.618556701
663,139,2.3399084,233,0.353689567,0.875090469,0.776632302
664,22,1.6037242,80,0.055979644,0.55403207,0.250859107
665,10,1.1768752,59,0.025445293,0.36787831,0.178694158
666,10,1.1768752,58,0.025445293,0.36787831,0.175257732
667,22,1.606352,68,0.055979644,0.555178084,0.209621993
668,22,1.606352,67,0.055979644,0.555178084,0.206185567
669,10,1.1561403,52,0.025445293,0.358835582,0.154639175
670,8,1.0952908,58,0.020356234,0.332298415,0.175257732
671,18,1.4666082,74,0.045801527,0.494234205,0.23024055
672,21,1.6684235,86,0.053435115,0.582248179,0.271477663
673,18,1.4803609,91,0.045801527,0.500231915,0.288659794
674,12,1.3815587,110,0.030534351,0.457143139,0.35395189
675,32,1.8839605,120,0.081424936,0.676246344,0.388316151
676,131,2.4419696,132,0.333333333,0.919600533,0.429553265
677,32,1.8839605,117,0.081424936,0.676246344,0.378006873
678,12,1.3272201,83,0.030534351,0.433445451,0.261168385
679,12,1.2063863,39,0.030534351,0.38074844,0.109965636
680,8,1.1492875,20,0.020356234,0.355846997,0.04467354
681,0,0.58170414,14,0,0.108317363,0.024054983
682,0,0.33333334,9,0,0,0.006872852
683,4,0.72781962,28,0.010178117,0.172040005,0.072164948
684,10,1.2196002,79,0.025445293,0.386511174,0.24742268
685,32,1.8855816,129,0.081424936,0.676953325,0.419243986
686,172,2.4477789,158,0.437659033,0.922134035,0.518900344
687,36,1.975305,147,0.091603053,0.716082732,0.481099656
688,16,1.5352089,136,0.040712468,0.524151759,0.443298969
689,28,1.7820429,125,0.071246819,0.631798906,0.405498282
690,35,2.062937,115,0.089058524,0.754300055,0.371134021
691,28,1.7852225,102,0.071246819,0.633185567,0.326460481
692,10,1.2409762,81,0.025445293,0.395833494,0.254295533
693,10,1.1768752,61,0.025445293,0.36787831,0.18556701
694,22,1.606352,72,0.055979644,0.555178084,0.223367698
695,22,1.6042534,84,0.055979644,0.55426286,0.264604811
696,14,1.390353,91,0.03562341,0.460978435,0.288659794
697,26,1.7488363,135,0.066157761,0.617317126,0.439862543
698,20,1.5405476,61,0.050890585,0.526480028,0.18556701
699,48,1.7852225,100,0.122137405,0.633185567,0.319587629
700,36,1.8140556,144,0.091603053,0.645760013,0.470790378
701,71,2.1758037,166,0.180661578,0.803522521,0.546391753
702,171,2.5542042,159,0.435114504,0.968547333,0.52233677
703,52,1.8337219,122,0.132315522,0.654336713,0.395189003
704,38,1.7269484,97,0.096692112,0.607771561,0.309278351
705,6,0.84912294,16,0.015267176,0.224941779,0.030927835
706,6,0.8870222,28,0.015267176,0.241470082,0.072164948
707,6,0.8619656,21,0.015267176,0.23054261,0.048109966
708,6,0.84912294,15,0.015267176,0.224941779,0.027491409
709,12,1.2123377,42,0.030534351,0.383343914,0.120274914
710,22,1.6261337,53,0.055979644,0.563805111,0.158075601
711,10,1.1365665,42,0.025445293,0.350299222,0.120274914
712,6,0.8870222,28,0.015267176,0.241470082,0.072164948
713,6,0.84912294,16,0.015267176,0.224941779,0.030927835
714,6,0.84912294,16,0.015267176,0.224941779,0.030927835
715,6,0.8870222,28,0.015267176,0.241470082,0.072164948
716,10,1.1365665,44,0.025445293,0.350299222,0.127147766
717,22,1.606352,64,0.055979644,0.555178084,0.195876289
718,10,1.1,33,0.025445293,0.334352151,0.089347079
719,12,1.2241485,46,0.030534351,0.38849474,0.134020619
720,22,1.6132691,56,0.055979644,0.55819471,0.16838488
721,0,1.1058542,36,0,0.336905235,0.099656357
722,30,1.6474625,58,0.076335878,0.573106846,0.175257732
723,0,1.3845592,56,0,0.458451692,0.16838488
724,10,1.1,34,0.025445293,0.334352151,0.092783505
725,0,0.84912294,20,0,0.224941779,0.04467354
726,54,1.8597906,86,0.13740458,0.665705573,0.271477663
727,34,1.7265038,106,0.086513995,0.607577666,0.340206186
728,38,1.8571436,173,0.096692112,0.664551186,0.570446735
729,53,2.0598946,207,0.134860051,0.752973229,0.687285223
730,74,2.1471546,185,0.188295165,0.791028319,0.611683849
731,59,2.072258,156,0.150127226,0.75836505,0.512027491
732,26,1.7325417,125,0.066157761,0.610210864,0.405498282
733,16,1.3873369,58,0.040712468,0.459663079,0.175257732
734,24,1.5448366,83,0.061068702,0.52835051,0.261168385
735,30,1.7555087,144,0.076335878,0.620227037,0.470790378
736,78,2.0980964,199,0.198473282,0.769633474,0.659793814
737,88,2.2405958,227,0.223918575,0.831779102,0.756013746
738,74,2.136039,219,0.188295165,0.786180678,0.728522337
739,36,1.8750838,198,0.091603053,0.672375113,0.656357388
740,40,1.9309677,155,0.10178117,0.696746725,0.508591065
741,47,2.1336844,132,0.119592875,0.78515381,0.429553265
742,30,1.8369439,108,0.076335878,0.655741864,0.347079038
743,26,1.7269484,95,0.066157761,0.607771561,0.302405498
744,49,1.9916508,124,0.124681934,0.723211323,0.402061856
745,36,1.8427275,153,0.091603053,0.658264159,0.501718213
746,40,1.9373348,184,0.10178117,0.699523491,0.608247423
747,50,2.1737089,217,0.127226463,0.802608955,0.721649485
748,64,2.2465236,230,0.162849873,0.834364283,0.766323024
749,63,2.1355736,223,0.160305344,0.785977712,0.742268041
750,38,1.8571436,175,0.096692112,0.664551186,0.577319588
751,32,1.6673985,101,0.081424936,0.581801165,0.323024055
752,20,1.5365106,77,0.050890585,0.524719446,0.240549828
753,12,1.2726263,66,0.030534351,0.409636466,0.202749141
754,22,1.6042534,84,0.055979644,0.55426286,0.264604811
755,66,1.9310595,135,0.167938931,0.69678676,0.439862543
756,30,1.8391043,156,0.076335878,0.656684039,0.512027491
757,54,2.1875978,194,0.13740458,0.808666064,0.642611684
758,61,2.2542167,217,0.155216285,0.837719333,0.721649485
759,70,2.2419355,229,0.178117048,0.83236336,0.762886598
760,102,2.1758037,190,0.259541985,0.803522521,0.628865979
761,32,1.787379,127,0.081424936,0.634126041,0.412371134
762,20,1.4255327,85,0.050890585,0.476320707,0.268041237
763,17,1.6666666,88,0.043256997,0.581481975,0.278350515
764,26,1.6118186,93,0.066157761,0.557562131,0.295532646
765,28,1.6700469,99,0.071246819,0.582956162,0.316151203
766,12,1.2241485,55,0.030534351,0.38849474,0.164948454
767,8,0.98558021,26,0.020356234,0.284452364,0.065292096
768,6,0.8870222,28,0.015267176,0.241470082,0.072164948
769,8,1.0697098,55,0.020356234,0.321142246,0.164948454
770,20,1.5992693,125,0.050890585,0.552089237,0.405498282
771,80,2.1362436,171,0.203562341,0.786269907,0.563573883
772,63,2.019321,170,0.160305344,0.735278616,0.560137457
773,66,2.028795,195,0.167938931,0.739410336,0.64604811
774,84,2.1716397,205,0.213740458,0.801706553,0.680412371
775,40,1.9686921,213,0.10178117,0.71319877,0.70790378
776,39,1.9533483,209,0.099236641,0.706507162,0.694158076
777,60,2.1758037,212,0.152671756,0.803522521,0.704467354
778,78,2.1355736,220,0.198473282,0.785977712,0.731958763
779,25,1.8518485,176,0.063613232,0.662241932,0.580756014
780,23,1.7963344,152,0.058524173,0.638031594,0.498281787
781,53,1.8880572,151,0.134860051,0.678032962,0.494845361
782,58,1.9415878,111,0.147582697,0.701378273,0.357388316
783,33,1.8416041,96,0.083969466,0.657774231,0.305841924
784,16,1.4896638,88,0.040712468,0.504289017,0.278350515
785,8,1.0445806,48,0.020356234,0.310183113,0.140893471
786,8,1.0697098,58,0.020356234,0.321142246,0.175257732
787,18,1.5992693,129,0.045801527,0.552089237,0.419243986
788,41,2.0270002,147,0.1043257,0.738627603,0.481099656
789,73,2.1826198,185,0.185750636,0.806495101,0.611683849
790,84,2.2168565,206,0.213740458,0.82142612,0.683848797
791,58,2.249934,228,0.147582697,0.835851598,0.759450172
792,68,2.2542167,221,0.17302799,0.837719333,0.735395189
793,55,2.1875978,191,0.139949109,0.808666064,0.632302405
794,30,1.8362781,145,0.076335878,0.655451501,0.474226804
795,12,1.3815587,105,0.030534351,0.457143139,0.336769759
796,12,1.3455029,91,0.030534351,0.44141879,0.288659794
797,26,1.7288883,119,0.066157761,0.608617574,0.384879725
798,61,2.072258,159,0.155216285,0.75836505,0.52233677
799,70,2.1398234,200,0.178117048,0.787831099,0.663230241
800,75,2.1355736,217,0.190839695,0.785977712,0.721649485
801,70,2.1398234,193,0.178117048,0.787831099,0.639175258
802,69,2.1103904,166,0.175572519,0.774995029,0.546391753
803,35,1.8839605,145,0.089058524,0.676246344,0.474226804
804,16,1.3938289,65,0.040712468,0.462494315,0.199312715
805,12,1.3088794,84,0.030534351,0.42544686,0.264604811
806,26,1.7372102,129,0.066157761,0.61224685,0.419243986
807,64,2.0609944,162,0.162849873,0.753452865,0.532646048
808,92,2.1758037,187,0.234096692,0.803522521,0.618556701
809,84,2.0980964,194,0.213740458,0.769633474,0.642611684
810,73,2.0180571,169,0.185750636,0.734727414,0.556701031
811,36,1.8391043,136,0.091603053,0.656684039,0.443298969
812,33,1.7325417,116,0.083969466,0.610210864,0.374570447
813,26,1.6794915,111,0.066157761,0.587075061,0.357388316
814,31,1.787379,119,0.078880407,0.634126041,0.384879725
815,36,1.8391043,129,0.091603053,0.656684039,0.419243986
816,37,1.8993479,157,0.094147583,0.682956966,0.515463918
817,86,2.0986729,173,0.218829517,0.769884892,0.570446735
818,90,2.1355736,191,0.229007634,0.785977712,0.632302405
819,54,2.0209444,180,0.13740458,0.735986599,0.594501718
820,53,1.9758738,147,0.134860051,0.716330792,0.481099656
821,64,2.1103904,148,0.162849873,0.774995029,0.484536082
822,30,1.8362781,127,0.076335878,0.655451501,0.412371134
823,14,1.40625,96,0.03562341,0.467911299,0.305841924
824,20,1.5365106,74,0.050890585,0.524719446,0.23024055
825,16,1.3938289,65,0.040712468,0.462494315,0.199312715
826,10,1.2196002,73,0.025445293,0.386511174,0.226804124
827,20,1.5992693,126,0.050890585,0.552089237,0.408934708
828,22,1.4896638,83,0.055979644,0.504289017,0.261168385
829,28,1.5365106,75,0.071246819,0.524719446,0.233676976
830,36,1.6700469,97,0.091603053,0.582956162,0.309278351
831,58,1.975305,144,0.147582697,0.716082732,0.470790378
832,70,2.1362436,173,0.178117048,0.786269907,0.570446735
833,71,2.1398234,161,0.180661578,0.787831099,0.529209622
834,53,1.9310595,132,0.134860051,0.69678676,0.429553265
835,16,1.4382962,92,0.040712468,0.481887016,0.29209622
836,12,1.2726263,70,0.030534351,0.409636466,0.216494845
837,36,1.6734514,78,0.091603053,0.584440904,0.243986254
838,20,1.5365106,79,0.050890585,0.524719446,0.24742268
839,14,1.40625,104,0.03562341,0.467911299,0.333333333
840,30,1.8518485,167,0.076335878,0.662241932,0.549828179
841,44,2.1024222,177,0.111959288,0.771520005,0.58419244
842,30,1.8337219,133,0.076335878,0.654336713,0.432989691
843,10,1.2621337,95,0.025445293,0.405060523,0.302405498
844,54,1.8959359,69,0.13740458,0.681468954,0.213058419
845,34,1.7269484,80,0.086513995,0.607771561,0.250859107
846,34,1.7269484,78,0.086513995,0.607771561,0.243986254
847,0,0.33333334,7,0,0,0
848,4,0.70398736,9,0.010178117,0.161646482,0.006872852
849,6,0.87255627,12,0.015267176,0.235161323,0.017182131
850,6,0.8619656,18,0.015267176,0.23054261,0.037800687
851,8,0.98558021,21,0.020356234,0.284452364,0.048109966
852,12,1.2222222,25,0.030534351,0.387654658,0.06185567
853,12,1.2052853,37,0.030534351,0.380268281,0.103092784
854,12,1.238816,50,0.030534351,0.394891406,0.147766323
855,22,1.606352,62,0.055979644,0.555178084,0.189003436
856,60,1.9862185,65,0.152671756,0.720842235,0.199312715
857,44,1.8328277,62,0.111959288,0.653946742,0.189003436
858,16,1.4028426,65,0.040712468,0.466425293,0.199312715
859,16,1.3845592,45,0.040712468,0.458451692,0.130584192
860,8,1.0207884,35,0.020356234,0.299807061,0.096219931
861,6,0.8870222,26,0.015267176,0.241470082,0.065292096
862,8,0.98558021,22,0.020356234,0.284452364,0.051546392
863,12,1.2222222,25,0.030534351,0.387654658,0.06185567
864,25,1.6673985,88,0.063613232,0.581801165,0.278350515
865,0,1.4028426,79,0,0.466425293,0.24742268
866,39,1.875,91,0.099236641,0.672338567,0.288659794
867,26,1.7379411,83,0.066157761,0.612565604,0.261168385
868,16,1.3938289,66,0.040712468,0.462494315,0.202749141
869,8,1.0445806,45,0.020356234,0.310183113,0.130584192
870,8,1.0445806,42,0.020356234,0.310183113,0.120274914
871,16,1.3873369,54,0.040712468,0.459663079,0.161512027
872,41,1.7852225,100,0.1043257,0.633185567,0.319587629
873,30,1.9565217,88,0.076335878,0.707891118,0.278350515
874,6,0.87255627,11,0.015267176,0.235161323,0.013745704
875,6,0.84912294,13,0.015267176,0.224941779,0.020618557
876,6,0.84912294,14,0.015267176,0.224941779,0.024054983
877,6,0.84912294,14,0.015267176,0.224941779,0.024054983
878,6,0.84912294,14,0.015267176,0.224941779,0.024054983
879,6,0.84912294,17,0.015267176,0.224941779,0.034364261
880,6,0.91666669,41,0.015267176,0.254398385,0.116838488
881,12,1.2906152,83,0.030534351,0.417481633,0.261168385
882,34,1.9363272,127,0.086513995,0.699084065,0.412371134
883,95,2.3063509,156,0.24173028,0.860455657,0.512027491
884,81,2.2108853,158,0.20610687,0.818822011,0.518900344
885,41,1.9310595,141,0.1043257,0.69678676,0.4604811
886,21,1.6249448,112,0.053435115,0.563286618,0.360824742
887,17,1.5110798,104,0.043256997,0.513628781,0.333333333
888,23,1.5517242,88,0.058524173,0.531354272,0.278350515
889,26,1.6684235,75,0.066157761,0.582248179,0.233676976
890,22,1.6042534,77,0.055979644,0.55426286,0.240549828
891,14,1.3592209,71,0.03562341,0.447401368,0.219931271
892,22,1.6037242,70,0.055979644,0.55403207,0.216494845
893,22,1.6132691,58,0.055979644,0.55819471,0.175257732
894,10,1.1365665,45,0.025445293,0.350299222,0.130584192
895,6,0.94787496,42,0.015267176,0.268008671,0.120274914
896,10,1.1365665,44,0.025445293,0.350299222,0.127147766
897,22,1.6261337,53,0.055979644,0.563805111,0.158075601
898,22,1.606352,64,0.055979644,0.555178084,0.195876289
899,10,1.1365665,46,0.025445293,0.350299222,0.134020619
900,6,0.94787496,43,0.015267176,0.268008671,0.12371134
901,10,1.1561403,49,0.025445293,0.358835582,0.144329897
902,24,1.6828449,58,0.061068702,0.588537517,0.175257732
903,24,1.6734514,65,0.061068702,0.584440904,0.199312715
904,12,1.3088794,75,0.030534351,0.42544686,0.233676976
905,18,1.5,87,0.045801527,0.508796753,0.274914089
906,41,1.7909094,86,0.1043257,0.635665689,0.271477663
907,36,1.8416041,99,0.091603053,0.657774231,0.316151203
908,29,1.7852225,101,0.073791349,0.633185567,0.323024055
909,31,1.8416041,115,0.078880407,0.657774231,0.371134021
910,49,1.9775612,153,0.124681934,0.717066686,0.501718213
911,57,2.0986729,184,0.145038168,0.769884892,0.608247423
912,50,2.1594694,168,0.127226463,0.796398945,0.553264605
913,33,2.0269725,125,0.083969466,0.738615523,0.405498282
914,26,1.7257152,111,0.066157761,0.607233748,0.357388316
915,10,1.1768752,66,0.025445293,0.36787831,0.202749141
916,6,0.8870222,31,0.015267176,0.241470082,0.082474227
917,6,0.84912294,16,0.015267176,0.224941779,0.030927835
918,6,0.84912294,14,0.015267176,0.224941779,0.024054983
919,6,0.84912294,14,0.015267176,0.224941779,0.024054983
920,6,0.84912294,14,0.015267176,0.224941779,0.024054983
921,6,0.84912294,13,0.015267176,0.224941779,0.020618557
922,39,1.8900454,124,0.099236641,0.678900039,0.402061856
923,50,1.9174613,111,0.127226463,0.690856429,0.357388316
924,0,1.4028426,79,0,0.466425293,0.24742268
925,0,0.42239243,14,0,0.038839694,0.024054983
926,6,0.8870222,29,0.015267176,0.241470082,0.075601375
927,16,1.3873683,43,0.040712468,0.459676773,0.12371134
928,40,1.7495173,66,0.10178117,0.617614118,0.202749141
929,43,1.7909094,83,0.109414758,0.635665689,0.261168385
930,23,1.975305,158,0.058524173,0.716082732,0.518900344
931,46,1.8369439,120,0.117048346,0.655741864,0.388316151
932,0,1.1768752,66,0,0.36787831,0.202749141
933,14,1.3592209,92,0.03562341,0.447401368,0.29209622
934,8,1.0207884,43,0.020356234,0.299807061,0.12371134
935,8,1.0207884,40,0.020356234,0.299807061,0.113402062
936,14,1.31797,69,0.03562341,0.429411376,0.213058419
937,42,1.9851656,129,0.106870229,0.720383053,0.419243986
938,24,1.4896638,90,0.061068702,0.504289017,0.285223368
